name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Uptown Bounce Co-Presented by the Museum of the City of New York,Join us for Uptown Bounce!,El Museo del Barrio,40.7931183,-73.9514063,1230 5th Avenue,2026-07-23,2026-07-23,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183711191%2F223767302740%2F1%2Foriginal.20260504-151126?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=5e3ed9f7f5d742b9cfa87d46af5235ed,,https://www.eventbrite.com/e/uptown-bounce-co-presented-by-the-museum-of-the-city-of-new-york-tickets-1984402821257,false
Twen,"A concert w/ Twen on The Rooftop @ Elsewhere in Bushwick on 7.22! Tickets start at $20 • 7pm • 16+ | Genre: Indie, Rock",Elsewhere - The Rooftop,40.709411,-73.923169,599 Johnson Avenue,2026-07-22,2026-07-22,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181008826%2F2569518370411%2F1%2Foriginal.20260330-162150?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=d6a4736608eeb8e1801d5a53247f3499,,https://www.eventbrite.com/e/twen-tickets-1986024444576,false
"Damon Smith, Josh Turner and Friends Play Paul McCartney’s RAM","Hear Damon and Josh play Paul and Linda McCartney's 1971 album RAM cover to cover, with a rotating cast of singers joining them on stage.",littlefield,40.6785007,-73.9833014,635 Sackett Street,2026-07-23,2026-07-23,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184539072%2F24269976876%2F1%2Foriginal.20260513-201709?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=3d9cb47d635cbc8de17a7d2471ad519e,,https://www.eventbrite.com/e/damon-smith-josh-turner-and-friends-play-paul-mccartneys-ram-tickets-1989415047962,false
Movies in the Park: LITTLE MISS SUNSHINE,Come celebrate the 20th anniversary of LITTLE MISS SUNSHINE at a FREE screening in Tompkins Square Park! (Rain Date 7/23),Tompkins Square Park,40.72642949999999,-73.9817841,East 10th Street,2026-07-22,2026-07-22,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1185897012%2F26808054921%2F1%2Foriginal.20260601-193430?w=400&auto=format%2Ccompress&q=75&sharp=10&s=2c3ebe641a9fbfb223d42663d744e50e,,https://www.eventbrite.com/e/movies-in-the-park-little-miss-sunshine-tickets-1990521066092,false
ARMORED 7,"THE ARMORED SERIES IS BACK WITH AN INSANE LINEUP! 
GET YOUR TICKETS FAST
LAST MELROSE EVENT WAS SOLD OUT!!",Melrose Ballroom,40.7555778,-73.92858609999999,36-08 33rd Street,2026-07-23,2026-07-23,queens,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171088387%2F2686899446251%2F1%2Foriginal.20251116-182221?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=5e0ae5192c4d7e72253381ab3c39df49,,https://www.eventbrite.com/e/armored-7-tickets-1991190391061,false
Jazz on the Plaza: Benny Benack III,"Jazz on the Plaza is sponsored by The Arts and Architecture Conservancy, Grand Central Partnership and Boston Properties (BXP).",Saint Peter's Church,40.75881400000001,-73.97044299999999,619 Lexington Avenue,2026-07-23,2026-07-23,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182253191%2F181870069803%2F1%2Foriginal.20260415-175140?crop=focalpoint&fit=crop&w=400&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.517&fp-y=0.096&s=87d5be32737aeb4b8bfcb3310b5af030,,https://www.eventbrite.com/e/jazz-on-the-plaza-benny-benack-iii-tickets-1987552048681,false
Black Joy Film Fest: BLACK IS BEAUTIFUL,"Come join us at the Black Joy Film Fest:The Fire Inside, for a celebration of Black excellence and uplifting stories on the big screen!",Restoration West Plaza,40.6800509,-73.9456361,1368 Fulton Street,2026-07-23,2026-07-23,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186027771%2F138308550847%2F1%2Foriginal.20260603-033709?crop=focalpoint&fit=crop&w=400&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=303a7ce5e6c7bd637905e543805c81b0,,https://www.eventbrite.com/e/black-joy-film-fest-black-is-beautiful-tickets-1990927790616,false
Cordial Creative Book Club: Phoebe Berman's Gonna Lose it by Brooke Averick,"Join Madeline & Annie of Cordial Creative Club to discuss the debut novel from podcaster, comedian, and bookfluencer, Brooke Averick.",P&T Knitwear Books & Podcasts,40.7219297,-73.9881633,180 Orchard Street,2026-07-22,2026-07-22,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1185318328%2F2885836636421%2F1%2Foriginal.20260524-171110?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=f5ac849ead4ae209faa0d3f8db0352e5,,https://www.eventbrite.com/e/cordial-creative-book-club-phoebe-bermans-gonna-lose-it-by-brooke-averick-tickets-1990120803897,false
How to Score Points in Mahjong,"Come join Dragons Den Mahjong at Kings Co Imperial, Brooklyn for a lesson on how to score points using the widely popular Hong Kong Scoring",Kings Co Imperial,40.715211,-73.951022,20 Skillman Avenue,2026-07-22,2026-07-22,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184705125%2F679176999663%2F1%2Foriginal.20260515-175507?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=e5f2d8ac5fe80a6a9383e910c9d845b3,,https://www.eventbrite.com/e/how-to-score-points-in-mahjong-tickets-1989679913181,false
Mahjong 102  - Guided Open Play,Ready to put your tiles to the test? Join Keep Mahjing On for a fun & supportive Open Play for those with previous Mahjong experience!,Mojo Coffee,40.7462341,-74.0289221,801 Bloomfield Street,2026-07-22,2026-07-22,hoboken,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1034479013%2F2670017020761%2F1%2Foriginal.20250519-232723?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.005&fp-y=0.005&s=7970d7d2ec638c81b21b49f97c427fb0,,https://www.eventbrite.com/e/mahjong-102-guided-open-play-tickets-1990865719961,false
