name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
2026 Games for Change Festival,"Play, learn, and connect at NYC’s longest-running gaming conference. Discover the future of games for good.",The Glasshouse,40.7657202,-73.99719000000002,660 12th Avenue,2026-07-21,2026-07-22,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176554722%2F10662513765%2F1%2Foriginal.20260203-130709?w=355&auto=format%2Ccompress&q=75&sharp=10&s=22ce33f6b498389e1ca5248064f6aadc,,https://www.eventbrite.com/e/2026-games-for-change-festival-tickets-1982011672266,
Twen,"A concert w/ Twen on The Rooftop @ Elsewhere in Bushwick on 7.22! Tickets start at $20 • 7pm • 16+ | Genre: Indie, Rock",Elsewhere - The Rooftop,40.709411,-73.923169,599 Johnson Avenue,2026-07-22,2026-07-22,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181008826%2F2569518370411%2F1%2Foriginal.20260330-162150?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=d6a4736608eeb8e1801d5a53247f3499,,https://www.eventbrite.com/e/twen-tickets-1986024444576,
IIDA NY Annual Meeting & Celebration,Join us for our Annual Chapter Celebration!,"Gibson showroom 1239 Broadway, 2nd Floor between 30th & 31st streets",40.7476496,-73.9886989,1239 Broadway,2026-07-21,2026-07-21,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186242514%2F61948433663%2F1%2Foriginal.20260605-135959?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.941&fp-y=0.483&s=ad81c5fa265e5c5bb5d4b14314b578de,,https://www.eventbrite.com/e/iida-ny-annual-meeting-celebration-registration-1991199090080,
Brooklyn Big Professional Networking Affair - Game Changers +Professionals,"Brooklyn's Biggest Professional Networking Affair - Artists , Entrepreneurs, Game-Changers & Professionals",Berry Park,40.7224498,-73.9552011,4 Berry Street,2026-07-21,2026-07-21,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F465015529%2F168091941339%2F1%2Foriginal.jpg?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=62%2C0%2C590%2C295&s=141007b262c3ac175814c88986367833,,https://www.eventbrite.com/e/brooklyn-big-professional-networking-affair-game-changers-professionals-tickets-1987618288807,
Movies in the Park: LITTLE MISS SUNSHINE,Come celebrate the 20th anniversary of LITTLE MISS SUNSHINE at a FREE screening in Tompkins Square Park! (Rain Date 7/23),Tompkins Square Park,40.72642949999999,-73.9817841,East 10th Street,2026-07-22,2026-07-22,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1185897012%2F26808054921%2F1%2Foriginal.20260601-193430?w=400&auto=format%2Ccompress&q=75&sharp=10&s=2c3ebe641a9fbfb223d42663d744e50e,,https://www.eventbrite.com/e/movies-in-the-park-little-miss-sunshine-tickets-1990521066092,
"""Honoring Our History"" - HLNY's 14th Annual Past President's Boat Cruise","HLNY honors our Past Presidents and celebrates their commitment to our organization, as well as the healthcare industry at large.",Pier 61 Chelsea Piers,40.7474146,-74.00826839999999,111C 11th Avenue,2026-07-21,2026-07-21,new york,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F788271969%2F459912532668%2F1%2Foriginal.20240612-145337?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C353%2C4210%2C2105&s=7b8921c3f3a7bc9e5a84c41cf71c2ddc,,https://www.eventbrite.com/e/honoring-our-history-hlnys-14th-annual-past-presidents-boat-cruise-tickets-1986900100687,
An Evening Rooftop Ride with Real Young & Lazy Horse,A concert w/ Real Young & Lazy Horse on The Rooftop @ Elsewhere in Bushwick on 7.21! Tickets start at $20 • 6pm • 16+ | Genre: Rock,Elsewhere - The Rooftop,40.709411,-73.923169,599 Johnson Avenue,2026-07-21,2026-07-21,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1185868934%2F2569518370411%2F1%2Foriginal.20260601-145630?crop=focalpoint&fit=crop&w=355&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=4baa2e5d1658f208e3be7e94aaab0afd,,https://www.eventbrite.com/e/an-evening-rooftop-ride-with-real-young-lazy-horse-tickets-1989696630182,
Malik Elassal,"Malik Elassal - Tuesday, July 21 - 7:00pm Doors / 7:30pm Show",Union Hall,40.6760416,-73.98013329999999,702 Union St.,2026-07-21,2026-07-21,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179138831%2F282041210522%2F1%2Foriginal.20260305-192804?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=b4c593741dcad6568cda390f3c007edd,,https://www.eventbrite.com/e/malik-elassal-tickets-1984576520797,
Out in Tech NYC | July Happy Hour,Join Out in Tech NYC for our monthly Happy Hour!,ANIMAL,40.7173904,-73.9493112,307 Meeker Avenue,2026-07-21,2026-07-21,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186762986%2F274726954638%2F1%2Foriginal.20260612-142738?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=205c56af86952854200597c029088211,,https://www.eventbrite.com/e/out-in-tech-nyc-july-happy-hour-tickets-1991778856176,
Summer of Horrors!,PLEASE SEE IMPORTANT TICKET INFORMATION BELOW!,Brooklyn Brewery,40.7217625,-73.9577086,79 North 11th Street,2026-07-21,2026-07-21,brooklyn,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187116305%2F2285530308663%2F1%2Foriginal.20260617-154719?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.447&fp-y=0.465&s=5a6eb9d723669cd1a4b9481186156e7e,,https://www.eventbrite.com/e/summer-of-horrors-tickets-1989698097571,
